Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_TS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_TS_NEGLIGIBLE_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_TS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_LOC		217
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_COUNT		14
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_COUNT		0
FILE_CHANGE_HISTORY_TOTAL_AGE_DAYS		77
FILE_CHANGE_HISTORY_ACTIVE_DAYS		10
FILE_CHANGE_HISTORY_WEEKS		8
FILE_CHANGE_HISTORY_ESTIMATED_WORKING_DAYS		40
FILE_AGE_NEGLIGIBLE_RISK_COUNT		40
FILE_AGE_LOW_RISK_COUNT		13
FILE_AGE_MEDIUM_RISK_COUNT		0
FILE_AGE_HIGH_RISK_COUNT		0
FILE_AGE_VERY_HIGH_RISK_COUNT		0
FILE_AGE_NEGLIGIBLE_RISK_LOC		3,778
FILE_AGE_LOW_RISK_LOC		559
FILE_AGE_MEDIUM_RISK_LOC		0
FILE_AGE_HIGH_RISK_LOC		0
FILE_AGE_VERY_HIGH_RISK_LOC		0
NUMBER_OF_CONTRIBUTORS		3
DUPLICATION_NUMBER_OF_DUPLICATES		3,349
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		33
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		3,169
DUPLICATION_NUMBER_OF_CLEANED_LINES		7,043
DUPLICATION_PERCENTAGE		45
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_BACKEND		565
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_BACKEND		565
DUPLICATION_PERCENTAGE_PRIMARY_BACKEND		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SPL		2,604
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SPL		2,604
DUPLICATION_PERCENTAGE_PRIMARY_SPL		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_TSX		893
DUPLICATION_NUMBER_OF_CLEANED_LINES_TSX		1,754
DUPLICATION_PERCENTAGE_TSX		50.91
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_HTML		1,874
DUPLICATION_NUMBER_OF_CLEANED_LINES_HTML		2,446
DUPLICATION_PERCENTAGE_HTML		76.61
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_CSS		319
DUPLICATION_NUMBER_OF_CLEANED_LINES_CSS		1,750
DUPLICATION_PERCENTAGE_CSS		18.23
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		45
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		922
DUPLICATION_PERCENTAGE_JS		4.88
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_TS		38
DUPLICATION_NUMBER_OF_CLEANED_LINES_TS		60
DUPLICATION_PERCENTAGE_TS		63.33
TOTAL_ANALYSIS_TIME_IN_MILLIS		10,048
