Metric		Current
UNIT_SIZE_COMPONENT_SPL_SRC_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_SPL_SRC_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_SRC_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_SRC_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_MEDIUM_RISK_LOC		23
UNIT_SIZE_COMPONENT_SPL_MEDIUM_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_SPL_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_SPL_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SPL_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SPL_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SPL_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		105
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		35.71
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		21
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		96
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		32.65
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		6
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		93
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		31.63
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		4
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_LOC		70
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_PERCENTAGE		33.02
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_COUNT		10
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_LOC		76
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_PERCENTAGE		35.85
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_COUNT		2
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_LOC		66
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_PERCENTAGE		31.13
